entreprise,secteur,actif,requete_optionnelle
Compagnie Fruitiere,Agro / Negoce / Agribusiness,oui,
SIFCA,Agro / Negoce / Agribusiness,oui,
Olam,Agro / Negoce / Agribusiness,oui,
Cargill,Agro / Negoce / Agribusiness,oui,
Barry Callebaut,Agro / Negoce / Agribusiness,oui,
Touton,Agro / Negoce / Agribusiness,oui,
Sucden,Agro / Negoce / Agribusiness,oui,
Export Trading Group (ETG),Agro / Negoce / Agribusiness,oui,
Dangote,Agro / Negoce / Agribusiness,oui,
Avril (Sofiproteol),Agro / Negoce / Agribusiness,oui,
Castel Group,Agro / Negoce / Agribusiness,oui,
Nestle,Agro / Negoce / Agribusiness,oui,
Diageo (Guinness),Agro / Negoce / Agribusiness,oui,
Tereos,Agro / Negoce / Agribusiness,oui,
SIPEF,Agro / Negoce / Agribusiness,oui,
Socfin,Agro / Negoce / Agribusiness,oui,
Sucrivoire,Agro / Negoce / Agribusiness,oui,
Unilever,Agro / Negoce / Agribusiness,oui,
Kernel (Ukraine),Agro / Negoce / Agribusiness,oui,
MHP (Ukraine),Agro / Negoce / Agribusiness,oui,
Orange (MEA),Telecom / Infrastructure numerique,oui,
Sofrecom,Telecom / Infrastructure numerique,oui,
IHS Towers,Telecom / Infrastructure numerique,oui,
Helios Towers,Telecom / Infrastructure numerique,oui,
Airtel Africa,Telecom / Infrastructure numerique,oui,
MTN Group,Telecom / Infrastructure numerique,oui,
Camusat,Telecom / Infrastructure numerique,oui,
Ericsson,Telecom / Infrastructure numerique,oui,
Huawei,Telecom / Infrastructure numerique,oui,
Nokia,Telecom / Infrastructure numerique,oui,
Canal+ Africa,Telecom / Infrastructure numerique,oui,
Liquid Intelligent Technologies,Telecom / Infrastructure numerique,oui,
Sonatel,Telecom / Infrastructure numerique,oui,
Maroc Telecom,Telecom / Infrastructure numerique,oui,
Eutelsat,Telecom / Infrastructure numerique,oui,
Sagemcom,Telecom / Infrastructure numerique,oui,
Vergnet,Telecom / Infrastructure numerique,oui,
NuRAN Wireless,Telecom / Infrastructure numerique,oui,
Africa Mobile Networks,Telecom / Infrastructure numerique,oui,
Gilat Satellite,Telecom / Infrastructure numerique,oui,
Vodacom,Telecom / Infrastructure numerique,oui,
Kyivstar,Telecom / Infrastructure numerique,oui,
Veon,Telecom / Infrastructure numerique,oui,
Turkcell,Telecom / Infrastructure numerique,oui,
Beeline,Telecom / Infrastructure numerique,oui,
CMA CGM,Transport / Logistique / Maritime,oui,
Africa Global Logistics (AGL),Transport / Logistique / Maritime,oui,
MSC,Transport / Logistique / Maritime,oui,
DP World,Transport / Logistique / Maritime,oui,
APM Terminals,Transport / Logistique / Maritime,oui,
Grimaldi Group,Transport / Logistique / Maritime,oui,
Geodis,Transport / Logistique / Maritime,oui,
DHL,Transport / Logistique / Maritime,oui,
Bollore Energy,Transport / Logistique / Maritime,oui,
Vinci Airports,Transport / Logistique / Maritime,oui,
Egis Airport Operation,Transport / Logistique / Maritime,oui,
ASECNA,Transport / Logistique / Maritime,oui,
Sitarail,Transport / Logistique / Maritime,oui,
Getma,Transport / Logistique / Maritime,oui,
SGS Inspection,Transport / Logistique / Maritime,oui,
Air France KLM Cargo,Transport / Logistique / Maritime,oui,
Ethiopian Airlines,Transport / Logistique / Maritime,oui,
Damen Shipyards,Transport / Logistique / Maritime,oui,
Sea Invest,Transport / Logistique / Maritime,oui,
Necotrans,Transport / Logistique / Maritime,oui,
Bollore,Transport / Logistique / Maritime,oui,
Ukrzaliznytsia,Transport / Logistique / Maritime,oui,
Kazakhstan Temir Zholy (KTZ),Transport / Logistique / Maritime,oui,
Azerbaijan Railways (ADY),Transport / Logistique / Maritime,oui,
LVMH,"Luxe (faible rendement, a evaluer)",oui,
Kering,"Luxe (faible rendement, a evaluer)",oui,
Richemont,"Luxe (faible rendement, a evaluer)",oui,
Chanel,"Luxe (faible rendement, a evaluer)",oui,
Hermes,"Luxe (faible rendement, a evaluer)",oui,
De Beers,"Luxe (faible rendement, a evaluer)",oui,
Gemfields,"Luxe (faible rendement, a evaluer)",oui,
L'Oreal,"Luxe (faible rendement, a evaluer)",oui,
