entreprise,siren,nom_officiel,dirigeant_principal,autres_dirigeants,activite_naf,effectif,ville,chiffre_affaires,source,date_enrichissement
Airbus CyberSecurity,523941037,AIRBUS CYBERSECURITY SAS,NICOLAS RAZY (Président de SAS),AUDITEX (Commissaire aux comptes suppléant) ; ERNST & YOUNG ET AUTRES (Commissaire aux comptes titulaire),62.01Z,200-249,ELANCOURT,,gouv,2026-07-02
HarfangLab,839045697,HARFANGLAB (HLB),XAVIER BOREAU-POTOCKI (Directeur général délégué),GREGOIRE GERMAIN (Président de SAS) ; ACA NEXIA (Commissaire aux comptes titulaire),62.01Z,50-99,PUTEAUX,,gouv,2026-07-02
Amossys,493348890,AMOSSYS,JEAN-FRANCOIS ALIOTTI (Directeur Général),TOPALIAN ASSOCIES (Commissaire aux comptes titulaire) ; ONEFIELD (Président de SAS),62.02A,50-99,RENNES,,gouv,2026-07-02
Technamm,481832004,TECHNAMM,A3A AUDIT (Commissaire aux comptes titulaire),TDVS HOLDING (Président de SAS),29.20Z,50-99,LAMBESC,,gouv,2026-07-02
Gruau,802440123,ETIENNE GRUAU (G-BATI),ETIENNE GRUAU (GRUAU) (Gérant),,71.12B,NN,SAINTE-GEMMES-SUR-LOIRE,,gouv,2026-07-02
Paul Boyé Technologies,349760918,PAUL BOYE TECHNOLOGIES,MADS LARSEN (Président de SAS),KPMG SA (Commissaire aux comptes titulaire),32.99Z,250-499,LABARTHE-SUR-LEZE,,gouv,2026-07-02
Verney-Carron,574501557,VERNEY-CARRON,OLIVIER DAMBRICOURT (Membre du conseil de surveillance),AGNÈS VERNEY-CARRON (GUICHARD) (Membre du conseil de surveillance) ; JEAN-LUC HERRMANN (Membre du conseil de surveillance),25.40Z,50-99,SAINT-ETIENNE,,gouv,2026-07-02
Cybergun,790924369,CYBERGUN TEAM AIRSOFT (CTA),,,93.29Z,NN,FLEURY-LES-AUBRAIS,,gouv,2026-07-02
Eurolinks,445340060,EUROLINKS,,,46.19A,NN,ENGHIEN-LES-BAINS,,gouv,2026-07-02
Sofresud,440148484,SOFRESUD DEFENSE,BERNARD ALHADEF (Gérant),,62.02A,NN,LA SEYNE-SUR-MER,,gouv,2026-07-02
